2020-12-09 22:12:129 INFO  OpenAccountPage :45 - Selects Currency Drop Down
2020-12-09 22:12:240 INFO  OpenAccountPage :52 - Clicks on Process Button [[ChromeDriver: chrome on WINDOWS (10a4444ec7e60c05d9e7167ba6d323ad)] -> xpath: //button[contains(text(),'Process')]]
2020-12-09 22:12:321 INFO  HomePage :26 - Click on Customer Login Button [[ChromeDriver: chrome on WINDOWS (10a4444ec7e60c05d9e7167ba6d323ad)] -> xpath: //button[contains(text(),'Customer Login')]]
2020-12-09 22:12:540 INFO  OpenAccountPage :37 - Selects Customer Name from Drop Down [[ChromeDriver: chrome on WINDOWS (10a4444ec7e60c05d9e7167ba6d323ad)] -> xpath: //select[@id='userSelect']]
2020-12-09 22:12:946 INFO  AccountPage :43 - Click on Deposit [[ChromeDriver: chrome on WINDOWS (10a4444ec7e60c05d9e7167ba6d323ad)] -> xpath: //button[2][contains(text(),'Deposit')]]
2020-12-09 22:12:193 INFO  AccountPage :50 - Deposit Money [[ChromeDriver: chrome on WINDOWS (10a4444ec7e60c05d9e7167ba6d323ad)] -> xpath: //div[@class='form-group']/input]
2020-12-09 22:12:286 INFO  AccountPage :56 - Click on deposit[[ChromeDriver: chrome on WINDOWS (10a4444ec7e60c05d9e7167ba6d323ad)] -> xpath: //form[@name='myForm']/button]
2020-12-09 22:12:383 INFO  HomePage :26 - Click on Customer Login Button [[ChromeDriver: chrome on WINDOWS (10a4444ec7e60c05d9e7167ba6d323ad)] -> xpath: //button[contains(text(),'Customer Login')]]
2020-12-09 22:12:429 INFO  OpenAccountPage :37 - Selects Customer Name from Drop Down [[ChromeDriver: chrome on WINDOWS (10a4444ec7e60c05d9e7167ba6d323ad)] -> xpath: //select[@id='userSelect']]
2020-12-09 22:12:644 INFO  AccountPage :74 - clicking on Withdrawal Button [[ChromeDriver: chrome on WINDOWS (10a4444ec7e60c05d9e7167ba6d323ad)] -> xpath: //button[3][contains(text(),'Withdraw')]]
2020-12-09 22:12:855 INFO  AccountPage :81 - Enter Withdrawal Amount [[ChromeDriver: chrome on WINDOWS (10a4444ec7e60c05d9e7167ba6d323ad)] -> xpath: //div[@class='form-group']/input]
2020-12-09 22:12:912 INFO  AccountPage :86 - Clicking on Withdrawal [[ChromeDriver: chrome on WINDOWS (10a4444ec7e60c05d9e7167ba6d323ad)] -> xpath: //form[@name='myForm']/button]
2020-12-09 22:12:967 INFO  AccountPage :67 - Get Message to verify [[ChromeDriver: chrome on WINDOWS (10a4444ec7e60c05d9e7167ba6d323ad)] -> xpath: //span[contains(text(),'Transaction successful')]]
